Date : 2025-01-27 18:00:35
Directory : c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts
Total : 1369 files,  1443553 codes, 5579 comments, 8375 blanks, all 1457507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| typechain-types\factories\contracts\practice-GuideDAO\ERC20                                                                                                                        |          3 |        570 |          9 |         13 |        592 |
| typechain-types\factories\contracts\practice-GuideDAO\ERC2612                                                                                                                      |         13 |      2,204 |         39 |         59 |      2,302 |
| typechain-types\factories\contracts\practice-GuideDAO\ERC2612 (Files)                                                                                                              |          9 |      2,022 |         27 |         45 |      2,094 |
| typechain-types\factories\contracts\practice-GuideDAO\ERC2612\crypto                                                                                                               |          2 |        108 |          6 |          5 |        119 |
| typechain-types\factories\contracts\practice-GuideDAO\ERC2612\utils                                                                                                                |          2 |         74 |          6 |          9 |         89 |
| typechain-types\factories\contracts\practice-GuideDAO\LibStringDemo.sol                                                                                                            |          2 |         77 |          6 |          9 |         92 |
| typechain-types\factories\contracts\practice-GuideDAO\NFT&ERC721                                                                                                                   |         11 |      2,654 |         33 |         53 |      2,740 |
| typechain-types\factories\contracts\practice-GuideDAO\RecordFactory.sol                                                                                                            |          5 |        506 |         15 |         29 |        550 |
| typechain-types\factories\contracts\practice-GuideDAO\RecordFactoryENS.sol                                                                                                         |         12 |      1,146 |         36 |         77 |      1,259 |
| typechain-types\factories\contracts\practice-GuideDAO\security                                                                                                                     |         17 |        976 |         51 |         90 |      1,117 |
| typechain-types\factories\contracts\practice-GuideDAO\security (Files)                                                                                                             |          1 |          5 |          3 |          1 |          9 |
| typechain-types\factories\contracts\practice-GuideDAO\security\AuctionDenialOfService.sol                                                                                          |          3 |        202 |          9 |         17 |        228 |
| typechain-types\factories\contracts\practice-GuideDAO\security\AuctionReentrancy.sol                                                                                               |          3 |        177 |          9 |         17 |        203 |
| typechain-types\factories\contracts\practice-GuideDAO\security\AuctionTxOrigin.sol                                                                                                 |          3 |        166 |          9 |         17 |        192 |
| typechain-types\factories\contracts\practice-GuideDAO\security\BankHoneypot.sol                                                                                                    |          5 |        317 |         15 |         29 |        361 |
| typechain-types\factories\contracts\practice-GuideDAO\security\GameCommitReveal.sol                                                                                                |          2 |        109 |          6 |          9 |        124 |
| typechain-types\factories\contracts\practice-GuideDAO\СontractsSeveral.sol                                                                                                         |          3 |        144 |          9 |         17 |        170 |
| typechain-types\factories\contracts\practice-junior                                                                                                                                |         31 |      3,447 |         93 |        241 |      3,781 |
| typechain-types\factories\contracts\practice-middle                                                                                                                                |         17 |      1,865 |         51 |        115 |      2,031 |
| typechain-types\factories\contracts\practice-middle (Files)                                                                                                                        |         13 |      1,687 |         39 |         97 |      1,823 |
| typechain-types\factories\contracts\practice-middle\Factorial.sol                                                                                                                  |          2 |         74 |          6 |          9 |         89 |
| typechain-types\factories\contracts\practice-middle\ReceiveEther.sol                                                                                                               |          2 |        104 |          6 |          9 |        119 |
| typechain-types\factories\contracts\practice-module-1                                                                                                                              |         53 |      5,142 |        159 |        291 |      5,592 |
| typechain-types\factories\contracts\practice-module-1 (Files)                                                                                                                      |         11 |      1,405 |         33 |         77 |      1,515 |
| typechain-types\factories\contracts\practice-module-1\InterfaceMathContract.sol                                                                                                    |          2 |        180 |          6 |          9 |        195 |
| typechain-types\factories\contracts\practice-module-1\LessonArray1.sol                                                                                                             |          2 |        197 |          6 |          9 |        212 |
| typechain-types\factories\contracts\practice-module-1\LessonCall.sol                                                                                                               |          3 |        285 |          9 |         17 |        311 |
| typechain-types\factories\contracts\practice-module-1\LessonCycles.sol                                                                                                             |          2 |         75 |          6 |          9 |         90 |
| typechain-types\factories\contracts\practice-module-1\LessonDelegateCall.sol                                                                                                       |          4 |        459 |         12 |         25 |        496 |
| typechain-types\factories\contracts\practice-module-1\LessonDlegateCallAdditionally.sol                                                                                            |          4 |        320 |         12 |         25 |        357 |
| typechain-types\factories\contracts\practice-module-1\LessonEnum.sol                                                                                                               |          2 |        121 |          6 |          9 |        136 |
| typechain-types\factories\contracts\practice-module-1\LessonError.sol                                                                                                              |          2 |        130 |          6 |          9 |        145 |
| typechain-types\factories\contracts\practice-module-1\LessonErrorsAndCondotions.sol                                                                                                |          2 |        154 |          6 |          9 |        169 |
| typechain-types\factories\contracts\practice-module-1\LessonEvent.sol                                                                                                              |          2 |         87 |          6 |          9 |        102 |
| typechain-types\factories\contracts\practice-module-1\LessonLibrary.sol                                                                                                            |          2 |        134 |          6 |         13 |        153 |
| typechain-types\factories\contracts\practice-module-1\LessonMapping.sol                                                                                                            |          3 |        271 |          9 |         17 |        297 |
| typechain-types\factories\contracts\practice-module-1\LessonModifier.sol                                                                                                           |          2 |        115 |          6 |          9 |        130 |
| typechain-types\factories\contracts\practice-module-1\LessonOpenZeppelin.sol                                                                                                       |          2 |        189 |          6 |          9 |        204 |
| typechain-types\factories\contracts\practice-module-1\LessonStruct.sol                                                                                                             |          2 |        123 |          6 |          9 |        138 |
| typechain-types\factories\contracts\practice-module-1\Module1Lesson2-2.sol                                                                                                         |          2 |         84 |          6 |          9 |         99 |
| typechain-types\factories\contracts\practice-module-1\Module1Practicum1.sol                                                                                                        |          2 |        452 |          6 |          9 |        467 |
| typechain-types\factories\contracts\practice-module-1\Module1Practicum2.sol                                                                                                        |          2 |        361 |          6 |          9 |        376 |
| typechain-types\factories\contracts\practice-module-2                                                                                                                              |         18 |      4,509 |         54 |        112 |      4,675 |
| typechain-types\factories\contracts\practice-module-2 (Files)                                                                                                                      |         12 |      3,369 |         36 |         85 |      3,490 |
| typechain-types\factories\contracts\practice-module-2\DataTypes-2.sol                                                                                                              |          2 |        318 |          6 |          9 |        333 |
| typechain-types\factories\contracts\practice-module-2\Module2PracticumIntensive1.sol                                                                                               |          2 |        461 |          6 |          9 |        476 |
| typechain-types\factories\contracts\practice-module-2\Module2PracticumIntensive2.sol                                                                                               |          2 |        361 |          6 |          9 |        376 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\.env                                                                                                                         | Properties         |          3 |          0 |          0 |          3 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\AccessControl.sol\AccessControl.dbg.json                                            | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\AccessControl.sol\AccessControl.json                                                | JSON               |        236 |          0 |          1 |        237 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\IAccessControl.sol\IAccessControl.dbg.json                                          | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\IAccessControl.sol\IAccessControl.json                                              | JSON               |        204 |          0 |          1 |        205 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\Ownable.sol\Ownable.dbg.json                                                        | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\access\Ownable.sol\Ownable.json                                                            | JSON               |         85 |          0 |          1 |         86 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\IERC1363.sol\IERC1363.dbg.json                                                  | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\IERC1363.sol\IERC1363.json                                                      | JSON               |        382 |          0 |          1 |        383 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC1155Errors.dbg.json                                      | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC1155Errors.json                                          | JSON               |        113 |          0 |          1 |        114 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC20Errors.dbg.json                                        | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC20Errors.json                                            | JSON               |         97 |          0 |          1 |         98 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC721Errors.dbg.json                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol\IERC721Errors.json                                           | JSON               |        114 |          0 |          1 |        115 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\ERC20.sol\ERC20.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\ERC20.sol\ERC20.json                                                           | JSON               |        319 |          0 |          1 |        320 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\IERC20.sol\IERC20.dbg.json                                                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\IERC20.sol\IERC20.json                                                         | JSON               |        194 |          0 |          1 |        195 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Metadata.sol\IERC20Metadata.dbg.json                          | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Metadata.sol\IERC20Metadata.json                              | JSON               |        233 |          0 |          1 |        234 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Permit.sol\IERC20Permit.dbg.json                              | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Permit.sol\IERC20Permit.json                                  | JSON               |         86 |          0 |          1 |         87 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\utils\SafeERC20.sol\SafeERC20.dbg.json                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\token\ERC20\utils\SafeERC20.sol\SafeERC20.json                                             | JSON               |         43 |          0 |          1 |         44 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Address.sol\Address.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Address.sol\Address.json                                                             | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.json                                                             | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Errors.sol\Errors.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Errors.sol\Errors.json                                                               | JSON               |         48 |          0 |          1 |         49 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Panic.sol\Panic.dbg.json                                                             | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Panic.sol\Panic.json                                                                 | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.json                                                             | JSON               |         27 |          0 |          1 |         28 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.dbg.json                                             | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.json                                                 | JSON               |         30 |          0 |          1 |         31 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.dbg.json                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.json                                               | JSON               |         30 |          0 |          1 |         31 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\Math.sol\Math.dbg.json                                                          | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\Math.sol\Math.json                                                              | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SafeCast.sol\SafeCast.dbg.json                                                  | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SafeCast.sol\SafeCast.json                                                      | JSON               |         65 |          0 |          1 |         66 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SignedMath.sol\SignedMath.dbg.json                                              | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SignedMath.sol\SignedMath.json                                                  | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\build-info\e8fa8e9d2a9aa657adce4e5293d83bc2.json                                                                   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\build-info\feb3b8e62481836180f30b3d48a50fd9.json                                                                   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AddressDemo.sol\AddresDemo.dbg.json                                                    | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AddressDemo.sol\AddresDemo.json                                                        | JSON               |         37 |          0 |          1 |         38 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Album.sol\Album.dbg.json                                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Album.sol\Album.json                                                                   | JSON               |         93 |          0 |          1 |         94 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AlbumTracker.sol\AlbumTracker.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AlbumTracker.sol\AlbumTracker.json                                                     | JSON               |        193 |          0 |          1 |        194 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Demo.sol\Demo.dbg.json                                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Demo.sol\Demo.json                                                                     | JSON               |         61 |          0 |          1 |         62 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\DemoNew.sol\DemoNew.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\DemoNew.sol\DemoNew.json                                                               | JSON               |        122 |          0 |          1 |        123 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Destroy.sol\Destroy.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Destroy.sol\Destroy.json                                                               | JSON               |         65 |          0 |          1 |         66 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ENSRegistrar.sol\ENSRegistrar.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ENSRegistrar.sol\ENSRegistrar.json                                                     | JSON               |        264 |          0 |          1 |        265 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\ERC1155.sol\ERC1155.dbg.json                                                   | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\ERC1155.sol\ERC1155.json                                                       | JSON               |        315 |          0 |          1 |        316 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155.sol\IERC1155.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155.sol\IERC1155.json                                                     | JSON               |        285 |          0 |          1 |        286 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155MetadataURI.sol\IERC1155MetadataURI.dbg.json                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155MetadataURI.sol\IERC1155MetadataURI.json                               | JSON               |        304 |          0 |          1 |        305 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155Receiver.sol\IERC1155Receiver.dbg.json                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155Receiver.sol\IERC1155Receiver.json                                     | JSON               |         89 |          0 |          1 |         90 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC165.sol\ERC165.dbg.json                                                             | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC165.sol\ERC165.json                                                                 | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\ERC20.sol\ERC20.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\ERC20.sol\ERC20.json                                                             | JSON               |        277 |          0 |          1 |        278 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\IERC20.sol\IERC20.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\IERC20.sol\IERC20.json                                                           | JSON               |        215 |          0 |          1 |        216 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20.sol\ERC20.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20.sol\ERC20.json                                                           | JSON               |        297 |          0 |          1 |        298 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol\ERC20Permit.dbg.json                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol\ERC20Permit.json                                               | JSON               |        447 |          0 |          1 |        448 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20.sol\IERC20.dbg.json                                                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20.sol\IERC20.json                                                         | JSON               |        194 |          0 |          1 |        195 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol\IERC20Metadata.dbg.json                                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol\IERC20Metadata.json                                         | JSON               |        233 |          0 |          1 |        234 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol\IERC20Permit.dbg.json                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol\IERC20Permit.json                                             | JSON               |         86 |          0 |          1 |         87 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol\IERC5267.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol\IERC5267.json                                                     | JSON               |         60 |          0 |          1 |         61 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\MyToken.sol\MyToken.dbg.json                                                   | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\MyToken.sol\MyToken.json                                                       | JSON               |        470 |          0 |          1 |        471 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\Proxy.sol\Proxy.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\Proxy.sol\Proxy.json                                                           | JSON               |         59 |          0 |          1 |         60 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol\ECDSA.dbg.json                                                | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol\ECDSA.json                                                    | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol\EIP712.dbg.json                                              | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol\EIP712.json                                                  | JSON               |        102 |          0 |          1 |        103 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol\Counters.dbg.json                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol\Counters.json                                               | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol\Math.dbg.json                                                   | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol\Math.json                                                       | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol\ShortStrings.dbg.json                                   | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol\ShortStrings.json                                       | JSON               |         27 |          0 |          1 |         28 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol\SignedMath.dbg.json                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol\SignedMath.json                                           | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol\StorageSlot.dbg.json                                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol\StorageSlot.json                                         | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol\Strings.dbg.json                                             | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol\Strings.json                                                 | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Factory.sol\Factory.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
